"","state","election_date","gov_id","polidoc_filename"
"1","BB",1990-10-14,10501,"41001.001.1990.1.1"
"2","BB",1999-09-05,10504,"41001.001.1999.1.1"
"3","BB",2004-09-19,10506,"41001.001.2004.1.1"
"4","BB",2009-09-27,10507,"41001.001.2009.1.1"
"5","BB",2014-09-14,10509,"41001.001.2014.1.1"
"6","BE",1985-03-10,10418,"41001.002.1985.1.1"
"7","BE",1990-12-02,10420,"41001.002.1990.1.1"
"8","BE",1995-10-22,10421,"41001.002.1995.1.1"
"9","BE",1999-10-10,10422,"41001.002.1999.1.1"
"10","BE",2001-10-21,10424,"41001.002.2001.1.1"
"11","BE",2006-09-17,10429,"41001.002.2006.1.1"
"12","BE",2016-09-18,10432,"41001.002.2016.1.1"
"13","BW",1992-04-05,10216,"41001.003.1992.1.1"
"14","BW",1996-03-24,10217,"41001.003.1996.1.1"
"15","BW",2001-03-25,10218,"41001.003.2001.1.1"
"16","BW",2006-03-26,10220,"41001.003.2006.1.1"
"17","BW",2011-03-27,10222,"41001.003.2011.1.1"
"18","BW",2016-03-13,10223,"41001.003.2016.1.1"
"19","BY",2008-09-28,10322,"41001.004.2008.1.1"
"20","HB",1991-09-29,10615,"41001.005.1991.1.1"
"21","HB",1995-05-14,10617,"41001.005.1995.1.1"
"22","HB",1999-06-06,10618,"41001.005.1999.1.1"
"23","HB",2003-05-25,10619,"41001.005.2003.1.1"
"24","HB",2007-05-13,10623,"41001.005.2007.1.1"
"25","HB",2011-05-22,10624,"41001.005.2011.1.1"
"26","HB",2015-05-10,10625,"41001.005.2015.1.1"
"27","HE",1983-09-25,10714,"41001.006.1983.1.1"
"28","HE",1991-01-20,10717,"41001.006.1991.1.1"
"29","HE",1995-02-19,10718,"41001.006.1995.1.1"
"30","HE",1999-02-07,10719,"41001.006.1999.1.1"
"31","HE",2003-02-02,10720,"41001.006.2003.1.1"
"32","HE",2009-01-18,10722,"41001.006.2009.1.1"
"33","HE",2013-09-22,10724,"41001.006.2013.1.1"
"34","HH",1987-05-17,10820,"41001.007.1987.1.1"
"35","HH",1993-09-19,10823,"41001.007.1993.1.1"
"36","HH",1997-09-21,10824,"41001.007.1997.1.1"
"37","HH",2001-09-23,10825,"41001.007.2001.1.1"
"38","HH",2004-02-29,10826,"41001.007.2004.1.1"
"39","HH",2008-02-24,10827,"41001.007.2008.1.1"
"40","HH",2015-02-15,10831,"41001.007.2015.1.1"
"41","MV",1994-10-16,10903,"41001.008.1994.1.1"
"42","MV",1998-09-27,10904,"41001.008.1998.1.1"
"43","MV",2002-09-22,10905,"41001.008.2002.1.1"
"44","MV",2006-09-17,10906,"41001.008.2006.1.1"
"45","MV",2011-09-04,10911,"41001.008.2011.1.1"
"46","MV",2016-09-04,10912,"41001.008.2016.1.1"
"47","NI",1990-05-13,11022,"41001.009.1990.1.1"
"48","NI",2003-02-02,11027,"41001.009.2003.1.1"
"49","NI",2008-01-27,11028,"41001.009.2008.1.1"
"50","NI",2013-01-20,11030,"41001.009.2013.1.1"
"51","NW",1995-05-14,11118,"41001.010.1995.1.1"
"52","NW",2000-05-14,11120,"41001.010.2000.1.1"
"53","NW",2005-05-22,11122,"41001.010.2005.1.1"
"54","NW",2010-05-09,11123,"41001.010.2010.1.1"
"55","NW",2012-05-13,11124,"41001.010.2012.1.1"
"56","RP",1991-04-21,11218,"41001.011.1991.1.1"
"57","RP",1996-03-24,11220,"41001.011.1996.1.1"
"58","RP",2001-03-25,11221,"41001.011.2001.1.1"
"59","RP",2011-03-27,11223,"41001.011.2011.1.1"
"60","RP",2016-03-13,11225,"41001.011.2016.1.1"
"61","SH",1996-03-24,11624,"41001.012.1996.1.1"
"62","SH",2000-02-27,11625,"41001.012.2000.1.1"
"63","SH",2005-02-20,11626,"41001.012.2005.1.1"
"64","SH",2009-09-27,11627,"41001.012.2009.1.1"
"65","SH",2012-05-06,11628,"41001.012.2012.1.1"
"66","SL",2009-08-30,11324,"41001.013.2009.1.1"
"67","SL",2012-03-25,11327,"41001.013.2012.1.1"
"68","SL",2017-03-26,11328,"41001.013.2017.1.1"
"69","SN",2004-09-19,11405,"41001.014.2004.1.1"
"70","SN",2009-08-30,11407,"41001.014.2009.1.1"
"71","SN",2014-08-31,11408,"41001.014.2014.1.1"
"72","ST",1990-10-14,11501,"41001.015.1990.1.1"
"73","ST",1994-06-26,11504,"41001.015.1994.1.1"
"74","ST",2002-04-21,11506,"41001.015.2002.1.1"
"75","ST",2006-03-26,11507,"41001.015.2006.1.1"
"76","ST",2011-03-20,11508,"41001.015.2011.1.1"
"77","ST",2016-03-13,11509,"41001.015.2016.1.1"
"78","TH",1990-10-14,11701,"41001.016.1990.1.1"
"79","TH",1994-10-16,11703,"41001.016.1994.1.1"
"80","TH",2009-08-30,11707,"41001.016.2009.1.1"
"81","TH",2014-09-14,11708,"41001.016.2014.1.1"
